Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kostas Antetokounmpo,PF,23,LAL,3,0,6.3,0.3,1.0,.333,0.0,0.0,0,0.3,1.0,.333,.333,0.3,0.7,.500,0.7,2.0,2.7,0.0,0.3,0.7,1.7,1.0,1.0
Devontae Cacok,PF,24,LAL,4,0,4.3,1.0,1.0,1.000,0.0,0.0,0,1.0,1.0,1.000,1.000,0.0,0.5,.000,0.3,1.0,1.3,0.0,0.5,0.0,0.5,0.0,2.0
Kentavious Caldwell-Pope,SG,27,LAL,31,31,25.9,3.0,6.8,.441,1.6,3.9,.408,1.4,2.9,.484,.557,1.2,1.4,.841,0.5,1.8,2.3,1.4,0.8,0.3,1.1,1.6,8.8
Alex Caruso,PG,26,LAL,28,0,19.9,2.1,5.0,.426,0.9,2.4,.388,1.2,2.6,.459,.518,0.5,0.8,.714,0.6,2.1,2.6,2.4,1.1,0.2,1.1,1.8,5.8
Quinn Cook,PG,27,LAL,16,0,3.9,0.8,1.6,.462,0.3,0.8,.385,0.4,0.8,.538,.558,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
Anthony Davis,PF,27,LAL,23,23,32.8,8.9,16.7,.533,0.7,2.5,.293,8.1,14.1,.575,.555,4.0,5.7,.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5
Jared Dudley,PF,35,LAL,9,0,5.7,0.2,0.6,.400,0.2,0.4,.500,0.0,0.1,.000,.600,0.0,0.0,0,0.4,1.1,1.6,0.3,0.0,0.0,0.2,0.3,0.7
Marc Gasol,C,36,LAL,35,35,20.1,1.5,3.8,.403,0.9,2.4,.365,0.7,1.4,.469,.519,0.8,1.0,.806,0.7,3.4,4.1,2.0,0.5,1.3,0.9,2.3,4.8
Montrezl Harrell,C,27,LAL,35,0,24.0,5.5,8.8,.630,0.0,0.1,.000,5.5,8.7,.640,.630,2.6,3.5,.752,2.3,4.1,6.4,1.1,0.7,0.7,1.1,2.1,13.7
Talen Horton-Tucker,SG,20,LAL,31,1,17.4,2.7,6.3,.436,0.5,1.8,.281,2.2,4.5,.500,.477,0.9,1.1,.818,0.3,2.1,2.4,2.0,0.8,0.6,1.3,2.0,6.9
LeBron James,PG,36,LAL,35,35,34.5,9.5,18.9,.504,2.4,6.6,.358,7.2,12.3,.582,.566,4.0,5.8,.695,0.6,7.5,8.1,7.8,1.1,0.6,3.8,1.6,25.5
Kyle Kuzma,SF,25,LAL,35,10,25.6,4.3,9.9,.441,1.7,4.8,.363,2.6,5.1,.514,.529,0.7,1.0,.657,2.0,4.5,6.5,1.1,0.4,0.7,1.5,1.7,11.1
Wesley Matthews,SG,34,LAL,28,4,20.3,1.5,4.1,.368,1.1,3.3,.341,0.4,0.8,.478,.504,0.4,0.5,.800,0.4,1.1,1.5,1.1,0.5,0.4,0.5,1.4,4.5
Alfonzo McKinnie,SF,28,LAL,17,0,4.0,0.7,1.4,.500,0.2,0.6,.400,0.5,0.8,.571,.583,0.2,0.4,.500,0.4,0.7,1.1,0.1,0.1,0.0,0.1,0.4,1.8
Markieff Morris,PF,31,LAL,29,5,16.4,1.7,4.4,.388,0.8,2.7,.299,0.9,1.8,.519,.477,0.7,1.0,.690,0.7,2.9,3.7,1.0,0.2,0.2,0.6,1.6,4.9
Dennis Schröder,SG,27,LAL,31,31,30.9,5.0,11.5,.438,0.9,3.1,.305,4.1,8.4,.487,.479,3.4,4.1,.835,0.6,3.0,3.6,4.3,0.9,0.2,2.3,2.7,14.4
